name,inventory,min_price,max_price,current_price,rating,strategy,slug,product(fk),discount
"Samsung 55"" 4K Smart TV",921,34800,64800,55050,4,3,samsung_55_4k_smart_tv-0,3,9750
"Samsung 55"" 4K Smart TV",959,34800,64200,55380,5,2,samsung_55_4k_smart_tv-1,3,8820
"Samsung 55"" 4K Smart TV",279,36000,63000,55575,4,1,samsung_55_4k_smart_tv-2,3,7425
"Samsung 55"" 4K Smart TV",541,38000,68400,46512,1,2,samsung_55_4k_smart_tv-3,3,21888
"Samsung 55"" 4K Smart TV",994,34400,61200,47130,3,5,samsung_55_4k_smart_tv-4,3,14070
"Samsung 55"" 4K Smart TV",61,36800,69000,58535,4,3,samsung_55_4k_smart_tv-5,3,10465
"Samsung 55"" 4K Smart TV",291,36400,66600,55275,4,5,samsung_55_4k_smart_tv-6,3,11325
"Samsung 55"" 4K Smart TV",749,35600,64200,54905,5,3,samsung_55_4k_smart_tv-7,3,9295
"Samsung 55"" 4K Smart TV",514,34000,63000,47775,3,5,samsung_55_4k_smart_tv-8,3,15225
"Samsung 55"" 4K Smart TV",140,39200,69000,54398,3,4,samsung_55_4k_smart_tv-9,3,14602
"Samsung 55"" 4K Smart TV",605,36800,63600,39480,1,5,samsung_55_4k_smart_tv-10,3,24120
"Samsung 55"" 4K Smart TV",290,36400,66600,58295,5,1,samsung_55_4k_smart_tv-11,3,8305
"Samsung 55"" 4K Smart TV",233,35200,64200,54050,5,4,samsung_55_4k_smart_tv-12,3,10150
"Samsung 55"" 4K Smart TV",508,38000,64800,56760,4,2,samsung_55_4k_smart_tv-13,3,8040
"Samsung 55"" 4K Smart TV",472,35200,61200,51450,5,5,samsung_55_4k_smart_tv-14,3,9750
"Samsung 55"" 4K Smart TV",564,35200,68400,58440,5,2,samsung_55_4k_smart_tv-15,3,9960
"Samsung 55"" 4K Smart TV",475,35200,66000,45210,2,5,samsung_55_4k_smart_tv-16,3,20790
"Samsung 55"" 4K Smart TV",691,36800,61800,39300,1,5,samsung_55_4k_smart_tv-17,3,22500
"Samsung 55"" 4K Smart TV",882,34000,68400,41568,1,3,samsung_55_4k_smart_tv-18,3,26832
"Samsung 55"" 4K Smart TV",578,35600,64200,55620,5,2,samsung_55_4k_smart_tv-19,3,8580
"LG 65"" OLED 4K Ultra HD TV",214,52200,101700,57150,1,5,lg_65_oled_4k_ultra_hd_tv-0,4,44550
"LG 65"" OLED 4K Ultra HD TV",214,56400,92700,76184,3,3,lg_65_oled_4k_ultra_hd_tv-1,4,16516
"LG 65"" OLED 4K Ultra HD TV",54,58800,91800,75465,2,1,lg_65_oled_4k_ultra_hd_tv-2,4,16335
"LG 65"" OLED 4K Ultra HD TV",797,51000,102600,88410,4,1,lg_65_oled_4k_ultra_hd_tv-3,4,14190
"LG 65"" OLED 4K Ultra HD TV",800,51000,100800,78141,3,3,lg_65_oled_4k_ultra_hd_tv-4,4,22659
"LG 65"" OLED 4K Ultra HD TV",463,51600,97200,76452,3,3,lg_65_oled_4k_ultra_hd_tv-5,4,20748
"LG 65"" OLED 4K Ultra HD TV",805,55800,95400,72234,2,3,lg_65_oled_4k_ultra_hd_tv-6,4,23166
"LG 65"" OLED 4K Ultra HD TV",233,57000,93600,82620,5,2,lg_65_oled_4k_ultra_hd_tv-7,4,10980
"LG 65"" OLED 4K Ultra HD TV",712,59400,91800,71388,2,4,lg_65_oled_4k_ultra_hd_tv-8,4,20412
"LG 65"" OLED 4K Ultra HD TV",141,58800,96300,71550,1,1,lg_65_oled_4k_ultra_hd_tv-9,4,24750
"LG 65"" OLED 4K Ultra HD TV",911,56400,94500,64782,1,3,lg_65_oled_4k_ultra_hd_tv-10,4,29718
"LG 65"" OLED 4K Ultra HD TV",881,56400,101700,86978,4,3,lg_65_oled_4k_ultra_hd_tv-11,4,14722
"LG 65"" OLED 4K Ultra HD TV",503,58200,93600,72891,2,3,lg_65_oled_4k_ultra_hd_tv-12,4,20709
"LG 65"" OLED 4K Ultra HD TV",646,52200,101700,80910,3,2,lg_65_oled_4k_ultra_hd_tv-13,4,20790
"LG 65"" OLED 4K Ultra HD TV",457,52200,94500,61506,1,3,lg_65_oled_4k_ultra_hd_tv-14,4,32994
"LG 65"" OLED 4K Ultra HD TV",512,55800,100800,76500,2,2,lg_65_oled_4k_ultra_hd_tv-15,4,24300
"LG 65"" OLED 4K Ultra HD TV",127,52800,95400,70479,2,3,lg_65_oled_4k_ultra_hd_tv-16,4,24921
"LG 65"" OLED 4K Ultra HD TV",911,56400,96300,85328,5,1,lg_65_oled_4k_ultra_hd_tv-17,4,10972
"LG 65"" OLED 4K Ultra HD TV",445,57000,93600,67248,1,2,lg_65_oled_4k_ultra_hd_tv-18,4,26352
"LG 65"" OLED 4K Ultra HD TV",525,54000,92700,60192,1,4,lg_65_oled_4k_ultra_hd_tv-19,4,32508
"LG 65"" OLED 4K Ultra HD TV",603,57000,99900,87030,5,2,lg_65_oled_4k_ultra_hd_tv-20,4,12870
"LG 65"" OLED 4K Ultra HD TV",879,55200,99000,75348,2,2,lg_65_oled_4k_ultra_hd_tv-21,4,23652
"LG 65"" OLED 4K Ultra HD TV",778,56400,99000,84090,5,4,lg_65_oled_4k_ultra_hd_tv-22,4,14910
"LG 65"" OLED 4K Ultra HD TV",83,53400,102600,85380,4,4,lg_65_oled_4k_ultra_hd_tv-23,4,17220
"LG 65"" OLED 4K Ultra HD TV",678,53400,99000,78252,3,3,lg_65_oled_4k_ultra_hd_tv-24,4,20748
