Product Name,Brand Name,Specifications,Description,Category, min_price, average_selling_price, max_price
Samsung 55" 4K Smart TV,Samsung,55" 4K UHD,Smart LED TV with HDR,TVs
LG 65" OLED 4K Ultra HD TV,LG,65" OLED 4K UHD,OLED Smart TV with Dolby Vision,TVs
Sony 50" Full HD LED TV,Sony,50" Full HD,LED TV with Motionflow XR,TVs
TCL 43" Roku Smart TV,TCL,43" 1080p,Smart LED TV with Roku OS,TVs
Vizio 60" 4K HDR Smart TV,Vizio,60" 4K UHD,Smart LED TV with Dolby Vision,TVs
Hisense 55" 4K Android TV,Hisense,55" 4K UHD,Android Smart TV with Voice Remote,TVs
Philips 70" 4K HDR TV,Philips,70" 4K UHD,HDR LED TV with Ambilight,TVs
Panasonic 65" 4K Ultra HD TV,Panasonic,65" 4K UHD,Smart LED TV with Dolby Atmos,TVs
Sharp 50" 4K Android TV,Sharp,50" 4K UHD,Android Smart TV with Google Assistant,TVs
Toshiba 55" Fire TV Edition,Toshiba,55" 4K UHD,Fire TV Edition Smart LED TV,TVs
Samsung 75" QLED 8K TV,Samsung,75" 8K QLED,QLED TV with Quantum Processor 8K,TVs
LG 55" NanoCell 4K TV,LG,55" 4K NanoCell,NanoCell Smart TV with ThinQ AI,TVs
Sony 65" 4K HDR Android TV,Sony,65" 4K UHD,Android Smart TV with X1 Processor,TVs
TCL 55" QLED 4K Android TV,TCL,55" 4K QLED,Android Smart TV with Quantum Dot,TVs
Vizio 65" P-Series Quantum TV,Vizio,65" 4K UHD,P-Series Quantum Smart TV,TVs
Hisense 50" 4K Roku TV,Hisense,50" 4K UHD,Roku Smart LED TV with Dolby Vision,TVs
Philips 55" 4K Android TV,Philips,55" 4K UHD,Android Smart TV with P5 Processor,TVs
Panasonic 58" 4K HDR TV,Panasonic,58" 4K UHD,HDR LED TV with Dolby Vision,TVs
Sharp 65" 4K Aquos TV,Sharp,65" 4K UHD,Aquos Smart LED TV with Motion Rate 120,TVs
Toshiba 43" HD Smart TV,Toshiba,43" 720p,HD Smart LED TV with Fire TV,TVs
Organic Avocado,Green Farms,1 piece,Fresh organic avocado,Food and Groceries
Whole Wheat Bread,Healthy Harvest,800g loaf,Whole wheat bread for healthy living,Food and Groceries
Organic Eggs,Happy Hens,12 count,Farm-fresh organic eggs,Food and Groceries
